Rank,Land Area (sq mi),City,State,Population
446,49.63,Chula Vista, CA,"253,031"
447,49.57,Niarada, MT,11
448,49.48,North Fort Myers, FL,"39,143"
449,49.44,College Station, TX,"98,505"
450,49.27,Forest Hills, MI,"27,072"
451,49.23,Lafayette, LA,"123,528"
452,49.19,Ranchettes, WY,"6,028"
453,49.13,Lynchburg, VA,"77,626"
454,48.98,Lake Louise, AK,42
455,48.82,Fargo, ND,"110,725"
456,48.70,Edgewood, NM,"3,763"
457,48.57,Linn, TX,689
458,48.45,El Dorado Hills, CA,"43,862"
459,48.34,Mcallen, TX,"135,048"
460,48.28,Boston, MA,"639,594"
461,48.01,Peoria, IL,"115,718"
462,47.90,Salem, OR,"157,967"
463,47.86,Georgetown, TX,"53,007"
464,47.79,Young, AZ,418
465,47.65,Waxahachie, TX,"31,045"
466,47.56,La Sal, UT,317
467,47.47,Maricopa, AZ,"45,388"
468,47.46,Carmel, IN,"83,474"
469,47.32,Mcgrath, AK,344
470,47.30,Red Rock CDP, AZ,"2,169"
471,47.16,Hoover, AL,"82,849"
472,47.10,Nelchina, AK,124
473,47.02,Pearland, TX,"97,427"
474,46.87,San Francisco, CA,"829,072"
475,46.72,Paradise, NV,"223,182"
476,46.70,Taunton, MA,"56,056"
477,46.56,Helena Valley Northeast, MT,"2,731"
478,46.55,Greeley, CO,"95,677"
479,46.51,Enterprise, NV,"124,564"
480,46.51,Jacksonville, NC,"69,300"
481,46.47,Menifee, CA,"81,658"
482,46.46,Vancouver, WA,"165,554"
483,46.42,Three Points, AZ,"5,313"
484,46.36,Four Corners, FL,"32,154"
485,46.32,Westfield, MA,"41,371"
486,46.28,Mequon, WI,"23,300"
487,46.19,Riverview, FL,"76,590"
488,46.05,Prunedale, CA,"18,574"
489,46.02,Mesquite, TX,"142,552"
490,45.98,Santa Fe, NM,"69,245"
491,45.87,Big Delta, AK,590
492,45.87,Bartow, FL,"17,766"
493,45.64,Lonetree, WY,49
494,45.64,Anniston, AL,"22,749"
495,45.60,Avondale, AZ,"77,912"
496,45.50,Fort Belknap Agency, MT,"1,331"
497,45.47,Green Bay, WI,"104,574"
498,45.43,Caledonia, WI,"24,689"
499,45.40,Rochester, NH,"29,883"
500,45.34,Conway, AR,"62,455"
501,45.32,Hayward, CA,"149,596"
502,45.30,Orovada, NV,151
503,45.29,Tolsona, AK,30
