Rank,Crime Index,City,State,Population
5773,944,Orange, CT,"13,947"
5774,944,Montpelier, ID,"2,540"
5775,943,Silverton, OR,"9,342"
5776,943,Blue Ash, OH,"12,124"
5777,943,Saint Joseph, TN,878
5778,943,Buda, TX,"9,443"
5779,943,Silt, CO,"2,946"
5780,943,La Grange, MO,"1,021"
5781,943,Oakham, MA,0
5782,943,Burgettstown, PA,"1,385"
5783,943,Brentwood, PA,"9,625"
5784,943,Clyde, NC,"1,362"
5785,943,Lindon, UT,"10,434"
5786,942,Brunswick, MO,914
5787,942,Los Fresnos, TX,"6,164"
5788,942,Swansea, IL,"13,870"
5789,942,Godley, TX,"1,202"
5790,941,Vermilion, OH,"10,415"
5791,941,Worthington, OH,"13,727"
5792,941,Depew, NY,"15,262"
5793,941,Kimmswick, MO,159
5794,941,Bartlett, TN,"57,805"
5795,940,Jackson, MO,"14,221"
5796,940,Millburn, NJ,"18,694"
5797,940,Lone Grove, OK,"5,142"
5798,940,Peebles, OH,"1,907"
5799,940,Newport, NC,"4,487"
